year,occ_desc,sex1,sex2,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2022,assistant manufacturing engineer,all,males,4644,3688
2022,chemistry technician,all,females,3624,3249
2022,chemistry technician,all,males,4619,4044
2022,civil engineering technician,all,females,3888,3798
2022,civil engineering technician,all,males,4310,4126
2022,civil engineering technician,all,males,4529,4330
2022,electrical engineering technician,all,males,3600,3204
2022,lift technician,all,males,3883,3000
2022,electronics engineering technician,all,females,3474,2886
2022,electronics engineering technician,all,males,4169,3400
2022,mechanical engineering technicians (excluding transport and vehicle engineering technicians),all,females,4474,3845
2022,mechanical engineering technicians (excluding transport and vehicle engineering technicians),all,males,3642,2835
2022,chemical engineering technician,all,females,5868,4350
2022,chemical engineering technician,all,males,6429,4033
2022,chemical engineering technician,all,females,6067,5543
2022,chemical engineering technician,all,males,4461,3948
2022,manufacturing engineering technician,all,females,3563,3000
2022,manufacturing engineering technician,all,males,4430,3387
2022,draughtsman,all,females,4064,3800
2022,draughtsman,all,males,4100,4000
2022,transport and vehicle engineering technician,all,females,3900,3147
2022,transport and vehicle engineering technician,all,males,3831,2626
2022,incinerator and water treatment plant and related machine operator,all,males,3478,2270
2022,remote crane operator,all,males,4625,2800
2022,life science technician (except medical),all,females,4656,4572
2022,life science technician (except medical),all,males,4824,4630
2022,clinical research coordinator,all,females,4946,4803
2022,clinical research coordinator,all,males,4712,4712
2022,road transport supervisor,all,females,3000,2483
2022,road transport supervisor,all,males,3428,2809
2022,port/shipping operations supervisor (including post-fixture and planner),all,females,4218,3034
2022,port/shipping operations supervisor (including post-fixture and planner),all,males,3664,2833
2022,air cargo officer,all,females,4030,3582
2022,air cargo officer,all,males,3736,3353
2022,premises and facilities maintenance officer,all,females,4240,3329
2022,premises and facilities maintenance officer,all,males,3819,3030
2022,building and fire inspector,all,females,2880,2797
2022,building and fire inspector,all,males,4020,3848
2022,"safety inspector (vehicles, processes and products)",all,females,2648,2599
2022,"safety inspector (vehicles, processes and products)",all,males,3832,3600
2022,medical and pathology laboratory technician,all,females,4751,4510
2022,medical and pathology laboratory technician,all,males,4607,4562
2022,pharmacy technician,all,females,2988,2125
2022,enrolled/assistant nurse (excluding registered nurse),all,females,3717,3507
2022,enrolled/assistant nurse (excluding registered nurse),all,males,3317,2890
2022,credit and loans officer,all,females,4500,4450
2022,credit and loans officer,all,males,4030,4030
2022,assistant accountant,all,females,3976,3844
2022,assistant accountant,all,males,4370,4252
2022,audit associate professional,all,females,4400,4400
2022,tax associate professional,all,females,4030,4030
2022,tax associate professional,all,males,4030,3904
2022,valuer and loss assessor,all,females,4375,4133
2022,valuer and loss assessor,all,males,4284,4142
2022,insurance representative and related associate professional,all,females,4841,4005
2022,insurance representative and related associate professional,all,males,4821,4404
2022,insurance sales agent/broker (including independent financial planner),all,females,5298,3785
2022,insurance sales agent/broker (including independent financial planner),all,males,4993,4616
2022,commercial and marketing sales executive,all,females,4187,3944
2022,commercial and marketing sales executive,all,males,4503,4180
2022,business development executive,all,females,4475,4000
2022,business development executive,all,males,4943,4000
2022,after sales adviser/client account service executive,all,females,5931,5884
2022,after sales adviser/client account service executive,all,males,6343,6337
2022,marketing and sales executive (food & beverage services),all,females,2775,2300
2022,marketing and sales executive (food & beverage services),all,males,1800,1500
2022,online sales channel executive,all,females,3145,3027
2022,online sales channel executive,all,males,3837,3400
2022,merchandising/category executive,all,females,3329,3283
2022,merchandising/category executive,all,males,3978,3655
2022,buyer and purchasing agent,all,females,4000,3744
2022,buyer and purchasing agent,all,males,4474,4170
2022,clearing and forwarding agent,all,females,4367,3677
2022,clearing and forwarding agent,all,males,5374,3533
2022,shipping agent/boarding officer,all,females,3289,2869
2022,shipping agent/boarding officer,all,males,3695,3329
2022,exhibition/conference/event planner (including wedding planner/coordinator),all,females,3900,3715
2022,employment agent/labour contractor,all,males,3709,3709
2022,real estate agent,all,females,4212,3686
